,date,customer_id,order_id,product,quantity,price,revenue,category,cluster_km
0,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,"комнатное растение в горшке алое вера, d12, h30",1,142.0,142.0,Другие товары,3
1,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,"комнатное растение в горшке кофе арабика, d12, h25",1,194.0,194.0,Другие товары,3
2,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,радермахера d-12 см h-20 см,1,112.0,112.0,Товары для сада,3
3,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,хризолидокарпус лутесценс d-9 см,1,179.0,179.0,Товары для сада,3
4,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,циперус зумула d-12 см h-25 см,1,112.0,112.0,Товары для сада,3
5,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,шеффлера лузеана d-9 см,1,164.0,164.0,Товары для сада,3
6,2018-10-01 00:00:00,ee47d746-6d2f-4d3c-9622-c31412542920,68477,юкка нитчатая d-12 см h-25-35 см,1,134.0,134.0,Товары для сада,3
7,2018-10-01 00:08:00,375e0724-f033-4c76-b579-84969cf38ee2,68479,настенная сушилка для белья gimi brio super 100,1,824.0,824.0,Товары для сада,1
8,2018-10-01 00:08:00,6644e5b4-9934-4863-9778-aaa125207701,68478,"таз пластмассовый 21,0 л круглый ""водолей"" с614, 1404056",1,269.0,269.0,Хозяйственные товары,0
9,2018-10-01 00:09:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68480,чехол для гладильной доски colombo persia beige 130х50 см из хлопка 5379,1,674.0,674.0,Хозяйственные товары,5
10,2018-10-02 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68490,чехол для гладильной доски festival 137x60 см из хлопка 4738,1,1162.0,1162.0,Хозяйственные товары,5
11,2018-10-03 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68511,набор прищепок большие пластиковые rozenbal пиноккио 10 шт r102312,10,86.0,860.0,Хозяйственные товары,5
12,2018-10-03 01:00:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68514,сушилка для белья attribute прима 11 м синяя напольная adp410,1,749.0,749.0,Товары для сада,5
13,2018-10-08 00:07:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68561,тележка багажная delta тбр-20 коричневый с оранжевым грузоподъемность 25 кг сумка и 50 кг каркас россия,1,742.0,742.0,Хозяйственные товары,5
14,2018-10-08 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68562,"готовая скатерть ажурная dia rose круглая д.152 белая, 5173, towa co., ltd",1,712.0,712.0,Хозяйственные товары,5
15,2018-10-08 00:09:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68563,"сушилка для белья потолочная zalger lift basic 1520 200 см, 10 м",1,614.0,614.0,Товары для сада,5
16,2018-10-08 01:03:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68568,"таз пластмассовый 18,0 л квадратный (тп-18) ""пластхозторг"", 1404042",1,254.0,254.0,Хозяйственные товары,5
17,2018-10-09 00:09:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68580,"стяжка оконная с болтом ст-55 цинк, 1108354",64,19.0,1216.0,Хозяйственные товары,5
18,2018-10-10 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68596,сумка-тележка 3-х колесная gimi tris floral синяя,1,2699.0,2699.0,Хозяйственные товары,5
19,2018-10-10 01:03:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68597,"сумка-тележка хозяйственная andersen scala shopper, elba, черная 112-051-80",1,3899.0,3899.0,Хозяйственные товары,5
20,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68604,"герань домашняя (пеларгония зональная) цветущая , d12, h25-30, красная, махровая",1,149.0,149.0,Товары для сада,5
21,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68604,"герань домашняя (пеларгония зональная) цветущая d12, h25-30, белая, махровая",1,149.0,149.0,Товары для сада,5
22,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68604,"герань домашняя (пеларгония зональная) цветущая d12, h25-30, коралловая, полумахровая",1,149.0,149.0,Товары для сада,5
23,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68604,"герань домашняя (пеларгония зональная) цветущая d12, h25-30, малиновая с красным, полумахровая",1,149.0,149.0,Товары для сада,5
24,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68605,"декоративная композиция искуственных цветов букет роз три цветка, цвет в ассортименте 85 см",10,106.0,1060.0,Товары для сада,5
25,2018-10-11 00:08:00,c971fb21-d54c-4134-938f-16b62ee86d3b,68605,искусственный цветок роза бархатная с закрытым бутоном 72 см цвет в ассортименте,10,71.0,710.0,Товары для сада,5
